threshold,flagged,recall,precision,f1,expected_profit
0.05,4823,0.9906354515050168,0.30707028820236365,0.4688192465970244,231994.7
0.06,4696,0.9892976588628762,0.3149488926746167,0.4777903408173155,236071.78000000003
0.07,4579,0.9892976588628762,0.32299628739899544,0.48699374382614424,240166.78000000003
0.08,4483,0.988628762541806,0.3296899397724738,0.49447975911676145,243309.7
0.09,4406,0.9872909698996656,0.33499773036768044,0.5002541942043721,245643.43999999994
0.1,4325,0.9866220735785953,0.34104046242774566,0.506872852233677,248387.36000000004
0.11,4257,0.9852842809364548,0.3460183227625088,0.5121696801112656,250264.26000000007
0.12,4196,0.9826086956521739,0.35009532888465206,0.5162537339659111,251428.7
0.13,4149,0.9819397993311036,0.35382019763798506,0.520198440822112,252800.81999999995
0.14,4085,0.979933110367893,0.35862913096695226,0.525089605734767,254574.98000000004
0.15,4026,0.9779264214046822,0.3631395926477894,0.5296142003260279,256049.76000000007
0.16,3960,0.9752508361204013,0.36818181818181817,0.5345554537121906,257423.93999999994
0.17,3888,0.9698996655518395,0.37294238683127573,0.5387330484859744,258735.24
0.18,3836,0.9638795986622074,0.3756517205422315,0.5406115175389232,258318.38
0.19,3781,0.9591973244147157,0.3792647447765142,0.5435936315390447,258548.31999999995
0.2,3715,0.9571906354515051,0.3851951547779273,0.5493282149712092,260179.89999999997
0.21,3656,0.9498327759197325,0.38840262582056895,0.551349252572316,259512.13999999996
0.22,3578,0.9438127090301003,0.39435438792621574,0.5562783362901637,260367.08000000002
0.23,3522,0.9377926421404682,0.3980692788188529,0.5588997408810046,260168.51999999996
0.24,3458,0.9351170568561873,0.4042799305957201,0.5645063597819503,261505.82
0.25,3386,0.9337792642140468,0.4122858830478441,0.5720139315713993,263536.4000000001
0.26,3329,0.9290969899665552,0.4172424151396816,0.5758706467661692,263878.82
0.27,3258,0.9224080267558529,0.42326580724370777,0.5802650957290133,263511.89999999997
0.28,3212,0.9190635451505017,0.4277708592777086,0.5838113448056087,263740.58
0.29,3153,0.9150501672240803,0.43387250237868696,0.5886402753872634,263965.61999999994
0.3,3082,0.9083612040133779,0.4406229720960415,0.5934017915665283,264138.16
0.31,3049,0.9063545150501672,0.4444080026238111,0.5963908450704225,264775.12000000005
0.32,2999,0.9010033444816054,0.4491497165721907,0.5994659546061415,264660.14
0.33,2939,0.8956521739130435,0.4555971418849949,0.6039693279206134,264408.26000000007
0.34,2881,0.8889632107023412,0.46129816036098575,0.6074040219378428,263536.66000000003
0.35,2826,0.8816053511705686,0.46638358103326255,0.6100439713029391,262512.89999999997
0.36,2776,0.8729096989966555,0.4701008645533141,0.6110981034886444,260171.86000000004
0.37,2729,0.8662207357859532,0.47453279589593256,0.6131628787878788,258875.3
0.38,2676,0.8588628762541806,0.4798206278026906,0.615679693119156,257618.64
0.39,2640,0.854180602006689,0.4837121212121212,0.6176541717049577,256704.06000000006
0.4,2592,0.8468227424749164,0.48842592592592593,0.6195253241986788,255754.61999999994
0.41,2545,0.8401337792642141,0.49351669941060905,0.6217821782178218,254644.0
0.42,2492,0.8307692307692308,0.4983948635634029,0.6230248306997742,253231.09999999998
0.43,2443,0.8240802675585285,0.504297994269341,0.6256983240223464,252259.06000000006
0.44,2393,0.8160535117056856,0.5098203092352696,0.6275720164609053,251397.97999999992
0.45,2354,0.811371237458194,0.5152931180968564,0.6302935827487659,250860.56000000006
0.46,2310,0.8020066889632107,0.5190476190476191,0.6302233902759526,249237.41999999998
0.47,2277,0.7959866220735786,0.5226174791392183,0.630965005302227,248196.06000000006
0.48,2239,0.7879598662207358,0.5261277355962484,0.6309587573647563,246156.82
0.49,2186,0.7806020066889632,0.5338517840805124,0.6340668296658517,245160.62000000005
